영상제목,유튜버,카테고리
"[뉴스 '꾹'] ""언젠간 지드래곤 데려오겠다""..출소한 승리의 허세? '싸늘' (2024.01.23/MBC뉴스)", MBCNEWS ,뉴스
"“年5.5%에서 3%대 갈아탔어요”, 주담대 ‘온라인 환승’ 열풍..혜택 얼마나? - [핫이슈PLAY] MBC뉴스 2024년 1월 26일", MBCNEWS ,뉴스
[자막뉴스] 20년이나 걸렸는데 순식간에...일본의 몰락 / YTN,  YTN ,뉴스
[자막뉴스] 들끓는 北 민심에 '깜짝'...한계 마주한 김정은 / YTN,  YTN ,뉴스
"""그냥 가면 뭐하러 오신 거야"" 상인들 분노..""정치쇼에 이용"" [뉴스.zip/MBC뉴스]", MBCNEWS ,뉴스
"""마리 앙투아네트에 충격""…용산 불 댕긴 전말? #뉴스다 / JTBC News", JTBC News ,뉴스
"[자막뉴스] ""벽돌이 아니라 다 돈입니다"" 성공한 사업가라더니..'경악' (2024.01.22/MBC뉴스)", MBCNEWS ,뉴스
BREAKING: Trump takes the stand in E. Jean Carroll defamation trial, MSNBC ,뉴스
LIVE: Latest News Headlines and Events l ABC News Live, ABC News ,뉴스
"[다시보기] 뉴스룸｜윤 대통령-한동훈 비대위원장, 정면충돌 이틀 만에 화재 현장서 '전격 만남' (24.1.23) / JTBC News", JTBC News ,뉴스
[자막뉴스] 고속도로 30대 여성 사망...뒤늦게 밝혀진 '충격적 사실' / KBS 2024.01.24, KBS News ,뉴스
"[다시보기] 윤-한동훈, 따로 갔지만…귀경은 한 열차로 │2024년 1월 23일 뉴스A", 채널A 뉴스 ,뉴스
"[자막뉴스] ""벽돌이 아니라 다 돈입니다"" 성공한 사업가라더니..'경악' (2024.01.22/MBC뉴스)", MBCNEWS ,뉴스
이런 날 타려고 차 샀는데…오히려 '벌벌' 떠는 사람들 #뉴스다 / JTBC News, JTBC News ,뉴스
강추위 계속‥호남·제주 등 대설특보 - [LIVE] MBC 뉴스투데이 2024년 1월 24일, MBCNEWS ,뉴스
"[오늘 이 뉴스] ""김여사, 주변에 메시지 보냈다""..'사과하면 오히려 총선 불리' (2024.01.23/MBC뉴스)", MBCNEWS ,뉴스
"[오늘 이 뉴스] ""총선 끝나면 해코지할 텐데.. 한동훈 무조건 '36계'가 답"" (2024.01.23/MBC뉴스)", MBCNEWS ,뉴스
Watch Sky News Live, Sky News ,뉴스
"""마리 앙투아네트에 충격""…용산 불 댕긴 전말? #뉴스다 / JTBC News", JTBC News ,뉴스
서울 -14도 전국 대부분 한파 특보‥'추위 절정' - [LIVE] MBC 뉴스투데이 2024년 1월 23일, MBCNEWS ,뉴스
"[오늘 이 뉴스] '힘 합치자' 이재명 복당 권유에 이언주 ""고민 중""..결심한 듯 (2024.01.23/MBC뉴스)", MBCNEWS ,뉴스
Nightly News Full Broadcast - Jan. 21, NBC News ,뉴스
[생방송] 24시간 현장을 전합니다 / 연합뉴스TV  (YonhapnewsTV), 연합뉴스TV ,뉴스
[자막뉴스] 20년이나 걸렸는데 순식간에...일본의 몰락 / YTN,  YTN ,뉴스
