영상제목,유튜버,카테고리
"“年5.5%에서 3%대 갈아탔어요”, 주담대 ‘온라인 환승’ 열풍..혜택 얼마나? - [핫이슈PLAY] MBC뉴스 2024년 1월 26일", MBCNEWS ,게임
[자막뉴스] 고속도로 30대 여성 사망...뒤늦게 밝혀진 '충격적 사실' / KBS 2024.01.24, KBS News ,게임
배현진 습격범은 10대 중학생‥정치인 테러 '비상' - [LIVE] MBC 뉴스투데이 2024년 1월 26일, MBCNEWS ,게임
[풀영상] 뉴스광장 : 배현진 의원 피습…여야 ‘철저한 수사’ 촉구 - 2024년 1월 26일(금) / KBS, KBS News ,게임
서울 -14도 전국 대부분 한파 특보‥'추위 절정' - [LIVE] MBC 뉴스투데이 2024년 1월 23일, MBCNEWS ,게임
[자막뉴스] 들끓는 北 민심에 '깜짝'...한계 마주한 김정은 / YTN,  YTN ,게임
[다시보기] 배현진 의원 백주에 강남 피습…10대 중학생이 무차별 테러 │2024년 1월 26일 김진의 돌직구쇼, 채널A 김진의 돌직구쇼 ,게임
“아들 걸고 정치 안 한다”던 백종원 총선 나설까 | 뉴스TOP 10, 채널A 뉴스TOP10 ,게임
"모닝와이드｜1/26(금) - ""배현진 맞냐"" 확인 후 10여 차례 공격…미성년 피의자 체포 / SBS", SBS 뉴스 ,게임
"'어닝 미스' 테슬라...""한계 지점 도달하는 상황"" 경고 [지금이뉴스] / YTN",  YTN ,게임
"[자막뉴스] ""누구냐 넌?""...아내에게 전화한 남편 '경악' / KBS 2024.01.25.", KBS News ,게임
[자막뉴스] 들끓는 北 민심에 '깜짝'...한계 마주한 김정은 / YTN,  YTN ,게임
“배현진 두피 두 번 봉합”..의료진 긴급 브리핑 - [속보] MBC뉴스 2024년 1월 25일, MBCNEWS ,게임
혹한 풀리자 이번엔 물난리난 美 | 뉴스A, 채널A 뉴스 ,게임
"[자막뉴스] 日 ""10대인 게 무슨 상관..사형"" 얼마나 악질 범죄 저질렀길래 (2024.01.24/MBC뉴스)", MBCNEWS ,게임
[자막뉴스] 초역세권도 '안 할래'…강남 한복판마저 뒤흔든 공포 / JTBC News, JTBC News ,게임
[LIVE] 대한민국 24시간 뉴스채널 YTN,  YTN ,게임
[생방송] 24시간 현장을 전합니다 / 연합뉴스TV  (YonhapnewsTV), 연합뉴스TV ,게임
"[자막뉴스] 내가 오늘 죽는다면… 카톡 프로필, 어떻게 하시겠습니까? / 채널A", 채널A 뉴스 ,게임
"[다시보기] 배현진, 피 흘리며 병원행…생명에는 지장 없어│2024년 1월 25일 뉴스A", 채널A 뉴스 ,게임
"""반도체 사업 싹쓸이""...트럼프, 타이완 국민들 떨게 할 발언 [지금이뉴스] / YTN",  YTN ,게임
"문상 중이던 조폭 '퍽'…부산 장례식장서 패싸움한 조폭들, 결국 / SBS / 실시간 e뉴스", SBS 뉴스 ,게임
